1,Deductible Amount
2,Coinsurance Amount
3,Co-payment Amount
4,"The procedure code is inconsistent with the modifier used or a required modifier is missing. Note: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present."
5,"The procedure code/bill type is inconsistent with the place of service. Note: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present."
6,"The procedure/revenue code is inconsistent with the patient's age. Note: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present."
7,"The procedure/revenue code is inconsistent with the patient's gender. Note: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present."
8,"The procedure code is inconsistent with the provider type/specialty (taxonomy). Note: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present."
9,"The diagnosis is inconsistent with the patient's age. Note: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present."
10,"The diagnosis is inconsistent with the patient's gender. Note: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present."
11,"The diagnosis is inconsistent with the procedure. Note: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present."
12,"The diagnosis is inconsistent with the provider type. Note: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present."
13,The date of death precedes the date of service.
14,The date of birth follows the date of service.
15,"The authorization number is missing, invalid, or does not apply to the billed services or provider."
16,Claim/service lacks information or has submission/billing error(s) which is needed for adjudication. Do not use this code for claims attachment(s)/other documentation. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject 
17,Requested information was not provided or was insufficient/incomplete. At least one Remark Code must be provided (may be comprised of either the Remittance Advice Remark Code or NCPDP Reject Reason Code.)
18,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO)
19,This is a work-related injury/illness and thus the liability of the Worker's Compensation Carrier.
20,This injury/illness is covered by the liability carrier.
21,This injury/illness is the liability of the no-fault carrier.
22,This care may be covered by another payer per coordination of benefits.
23,The impact of prior payer(s) adjudication including payments and/or adjustments. (Use only with Group Code OA)
24,Charges are covered under a capitation agreement/managed care plan.
25,Payment denied. Your Stop loss deductible has not been met.
26,Expenses incurred prior to coverage.
27,Expenses incurred after coverage terminated.
28,Coverage not in effect at the time the service was provided.
29,The time limit for filing has expired.
30,"Payment adjusted because the patient has not met the required eligibility, spend down, waiting, or residency requirements."
31,Patient cannot be identified as our insured.
32,Our records indicate that this dependent is not an eligible dependent as defined.
33,Insured has no dependent coverage.
34,Insured has no coverage for newborns.
35,Lifetime benefit maximum has been reached.
36,Balance does not exceed co-payment amount.
37,Balance does not exceed deductible.
38,Services not provided or authorized by designated (network/primary care) providers.
39,Services denied at the time authorization/pre-certification was requested.
40,"Charges do not meet qualifications for emergent/urgent care. Note: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present."
41,Discount agreed to in Preferred Provider contract.
42,Charges exceed our fee schedule or maximum allowable amount. (Use CARC 45)
43,Gramm-Rudman reduction.
44,Prompt-pay discount.
45,Charge exceeds fee schedule/maximum allowable or contracted/legislated fee arrangement. (Use only with Group Codes PR or CO depending upon liability)
46,This (these) service(s) is (are) not covered.
47,"This (these) diagnosis(es) is (are) not covered, missing, or are invalid."
48,This (these) procedure(s) is (are) not covered.
49,This is a non-covered service because it is a routine/preventive exam or a diagnostic/screening procedure done in conjunction with a routine/preventive exam. Note: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Inform
50,"These are non-covered services because this is not deemed a 'medical necessity' by the payer. Note: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present."
51,"These are non-covered services because this is a pre-existing condition. Note: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present."
52,The referring/prescribing/rendering provider is not eligible to refer/prescribe/order/perform the service billed.
53,Services by an immediate relative or a member of the same household are not covered.
54,"Multiple physicians/assistants are not covered in this case. Note: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present."
55,"Procedure/treatment is deemed experimental/investigational by the payer. Note: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present."
56,"Procedure/treatment has not been deemed 'proven to be effective' by the payer. Note: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present."
57,"Payment denied/reduced because the payer deems the information submitted does not support this level of service, this many services, this length of service, this dosage, or this day's supply."
58,"Treatment was deemed by the payer to have been rendered in an inappropriate or invalid place of service. Note: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present."
59,"Processed based on multiple or concurrent procedure rules. (For example multiple surgery or diagnostic imaging, concurrent anesthesia.) Note: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present"
60,Charges for outpatient services are not covered when performed within a period of time prior to or after inpatient services.
61,"Penalty for failure to obtain second surgical opinion. Note: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present."
62,"Payment denied/reduced for absence of, or exceeded, pre-certification/authorization."
63,Correction to a prior claim.
64,Denial reversed per Medical Review.
65,Procedure code was incorrect. This payment reflects the correct code.
66,Blood Deductible.
67,"Lifetime reserve days. (Handled in QTY, QTY01=LA)"
68,DRG weight. (Handled in CLP12)
69,Day outlier amount.
70,Cost outlier - Adjustment to compensate for additional costs.
71,Primary Payer amount.
72,"Coinsurance day. (Handled in QTY, QTY01=CD)"
73,Administrative days.
74,Indirect Medical Education Adjustment.
75,Direct Medical Education Adjustment.
76,Disproportionate Share Adjustment.
77,"Covered days. (Handled in QTY, QTY01=CA)"
78,Non-Covered days/Room charge adjustment.
79,Cost Report days. (Handled in MIA15)
80,"Outlier days. (Handled in QTY, QTY01=OU)"
81,Discharges.
82,PIP days.
83,Total visits.
84,Capital Adjustment. (Handled in MIA)
85,Patient Interest Adjustment (Use Only Group code PR)
86,Statutory Adjustment.
87,Transfer amount.
88,Adjustment amount represents collection against receivable created in prior overpayment.
89,Professional fees removed from charges.
90,Ingredient cost adjustment. Note: To be used for pharmaceuticals only.
91,Dispensing fee adjustment.
92,Claim Paid in full.
93,No Claim level Adjustments.
94,Processed in Excess of charges.
95,Plan procedures not followed.
96,"Non-covered charge(s). At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.) Note: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 S"
97,"The benefit for this service is included in the payment/allowance for another service/procedure that has already been adjudicated. Note: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present."
98,The hospital must file the Medicare claim for this inpatient non-physician service.
99,Medicare Secondary Payer Adjustment Amount.
100,Payment made to patient/insured/responsible party/employer.
