seq,inv,post,id,prov,doc,header,abbrev,due,w/e,fund,account,cc1,cc2,cc3,debit,credit
1,253597,08/07/2013,1638,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",803.76,""
2,253597,08/07/2013,1638,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",803.76
1,253598,08/07/2013,2520,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",1000.0,""
2,253598,08/07/2013,2520,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",1000.0
1,253599,08/07/2013,2520,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",400.0,""
2,253599,08/07/2013,2520,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",400.0
1,253600,08/07/2013,2399,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",252.16,""
2,253600,08/07/2013,2399,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",252.16
1,253601,08/07/2013,2399,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",630.4,""
2,253601,08/07/2013,2399,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",630.4
1,253602,08/07/2013,2816,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",1229.28,""
2,253602,08/07/2013,2816,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",1229.28
1,253603,08/07/2013,2496,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",378.24,""
2,253603,08/07/2013,2496,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",378.24
1,253604,08/07/2013,2924,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",189.12,""
2,253604,08/07/2013,2924,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",189.12
1,253605,08/07/2013,2862,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",63.04,""
2,253605,08/07/2013,2862,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",63.04
1,253606,08/07/2013,2487,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",63.04,""
2,253606,08/07/2013,2487,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",63.04
1,253607,08/07/2013,2628,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",882.56,""
2,253607,08/07/2013,2628,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",882.56
1,253608,08/07/2013,2635,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",464.92,""
2,253608,08/07/2013,2635,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",464.92
1,253609,08/07/2013,2912,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",441.28,""
