Seq,Receipt #,post_date,other id,invoice #,header memo,batch,doc date,detail memo,fund,account,cc1,cc2,cc3,debit,credit
1,120175,08/28/2013,2520,252444-1,252444-1,08/13G,08/28/2013,252444-1,300,1201,"","","",0,1400.0
2,120175,08/28/2013,2520,252444-1,252444-1,08/13G,08/28/2013,252444-1,100,1000,"","","",1400.0,0
3,120175,08/28/2013,2520,252444-1,252444-1,08/13G,08/28/2013,252444-1,300,3990,"","","",1400.0,0
4,120175,08/28/2013,2520,252444-1,252444-1,08/13G,08/28/2013,252444-1,100,3990,"","","",0,1400.0
1,120175,08/28/2013,2399,252445-1,252445-1,08/13G,08/28/2013,252445-1,300,1201,"","","",0,882.56
2,120175,08/28/2013,2399,252445-1,252445-1,08/13G,08/28/2013,252445-1,100,1000,"","","",882.56,0
3,120175,08/28/2013,2399,252445-1,252445-1,08/13G,08/28/2013,252445-1,300,3990,"","","",882.56,0
4,120175,08/28/2013,2399,252445-1,252445-1,08/13G,08/28/2013,252445-1,100,3990,"","","",0,882.56
1,120175,08/28/2013,2816,252446-1,252446-1,08/13G,08/28/2013,252446-1,300,1201,"","","",0,1182.0
2,120175,08/28/2013,2816,252446-1,252446-1,08/13G,08/28/2013,252446-1,100,1000,"","","",1182.0,0
3,120175,08/28/2013,2816,252446-1,252446-1,08/13G,08/28/2013,252446-1,300,3990,"","","",1182.0,0
4,120175,08/28/2013,2816,252446-1,252446-1,08/13G,08/28/2013,252446-1,100,3990,"","","",0,1182.0
1,120175,08/28/2013,2496,252447-1,252447-1,08/13G,08/28/2013,252447-1,300,1201,"","","",0,252.16
2,120175,08/28/2013,2496,252447-1,252447-1,08/13G,08/28/2013,252447-1,100,1000,"","","",252.16,0
3,120175,08/28/2013,2496,252447-1,252447-1,08/13G,08/28/2013,252447-1,300,3990,"","","",252.16,0
4,120175,08/28/2013,2496,252447-1,252447-1,08/13G,08/28/2013,252447-1,100,3990,"","","",0,252.16
1,120175,08/28/2013,2924,252448-1,252448-1,08/13G,08/28/2013,252448-1,300,1201,"","","",0,189.12
2,120175,08/28/2013,2924,252448-1,252448-1,08/13G,08/28/2013,252448-1,100,1000,"","","",189.12,0
3,120175,08/28/2013,2924,252448-1,252448-1,08/13G,08/28/2013,252448-1,300,3990,"","","",189.12,0
4,120175,08/28/2013,2924,252448-1,252448-1,08/13G,08/28/2013,252448-1,100,3990,"","","",0,189.12
1,120175,08/28/2013,2487,252449-1,252449-1,08/13G,08/28/2013,252449-1,300,1201,"","","",0,189.12
2,120175,08/28/2013,2487,252449-1,252449-1,08/13G,08/28/2013,252449-1,100,1000,"","","",189.12,0
3,120175,08/28/2013,2487,252449-1,252449-1,08/13G,08/28/2013,252449-1,300,3990,"","","",189.12,0
4,120175,08/28/2013,2487,252449-1,252449-1,08/13G,08/28/2013,252449-1,100,3990,"","","",0,189.12
1,120175,08/28/2013,2628,252450-1,252450-1,08/13G,08/28/2013,252450-1,300,1201,"","","",0,630.4
2,120175,08/28/2013,2628,252450-1,252450-1,08/13G,08/28/2013,252450-1,100,1000,"","","",630.4,0
3,120175,08/28/2013,2628,252450-1,252450-1,08/13G,08/28/2013,252450-1,300,3990,"","","",630.4,0
4,120175,08/28/2013,2628,252450-1,252450-1,08/13G,08/28/2013,252450-1,100,3990,"","","",0,630.4
1,120175,08/28/2013,1344,252451-1,252451-1,08/13G,08/28/2013,252451-1,300,1201,"","","",0,709.2
2,120175,08/28/2013,1344,252451-1,252451-1,08/13G,08/28/2013,252451-1,100,1000,"","","",709.2,0
3,120175,08/28/2013,1344,252451-1,252451-1,08/13G,08/28/2013,252451-1,300,3990,"","","",709.2,0
4,120175,08/28/2013,1344,252451-1,252451-1,08/13G,08/28/2013,252451-1,100,3990,"","","",0,709.2
1,120175,08/28/2013,2912,252453-1,252453-1,08/13G,08/28/2013,252453-1,300,1201,"","","",0,472.8
2,120175,08/28/2013,2912,252453-1,252453-1,08/13G,08/28/2013,252453-1,100,1000,"","","",472.8,0
3,120175,08/28/2013,2912,252453-1,252453-1,08/13G,08/28/2013,252453-1,300,3990,"","","",472.8,0
4,120175,08/28/2013,2912,252453-1,252453-1,08/13G,08/28/2013,252453-1,100,3990,"","","",0,472.8
1,120175,08/28/2013,2681,252454-1,252454-1,08/13G,08/28/2013,252454-1,300,1201,"","","",0,1323.84
2,120175,08/28/2013,2681,252454-1,252454-1,08/13G,08/28/2013,252454-1,100,1000,"","","",1323.84,0
3,120175,08/28/2013,2681,252454-1,252454-1,08/13G,08/28/2013,252454-1,300,3990,"","","",1323.84,0
4,120175,08/28/2013,2681,252454-1,252454-1,08/13G,08/28/2013,252454-1,100,3990,"","","",0,1323.84
1,120175,08/28/2013,2579,252455-1,252455-1,08/13G,08/28/2013,252455-1,300,1201,"","","",0,472.8
2,120175,08/28/2013,2579,252455-1,252455-1,08/13G,08/28/2013,252455-1,100,1000,"","","",472.8,0
3,120175,08/28/2013,2579,252455-1,252455-1,08/13G,08/28/2013,252455-1,300,3990,"","","",472.8,0
4,120175,08/28/2013,2579,252455-1,252455-1,08/13G,08/28/2013,252455-1,100,3990,"","","",0,472.8
1,120175,08/28/2013,2622,252456-1,252456-1,08/13G,08/28/2013,252456-1,300,1201,"","","",0,63.04
2,120175,08/28/2013,2622,252456-1,252456-1,08/13G,08/28/2013,252456-1,100,1000,"","","",63.04,0
3,120175,08/28/2013,2622,252456-1,252456-1,08/13G,08/28/2013,252456-1,300,3990,"","","",63.04,0
4,120175,08/28/2013,2622,252456-1,252456-1,08/13G,08/28/2013,252456-1,100,3990,"","","",0,63.04
1,120175,08/28/2013,2538,252457-1,252457-1,08/13G,08/28/2013,252457-1,300,1201,"","","",0,157.6
2,120175,08/28/2013,2538,252457-1,252457-1,08/13G,08/28/2013,252457-1,100,1000,"","","",157.6,0
3,120175,08/28/2013,2538,252457-1,252457-1,08/13G,08/28/2013,252457-1,300,3990,"","","",157.6,0
4,120175,08/28/2013,2538,252457-1,252457-1,08/13G,08/28/2013,252457-1,100,3990,"","","",0,157.6
1,120175,08/28/2013,2895,252458-1,252458-1,08/13G,08/28/2013,252458-1,300,1201,"","","",0,126.08
2,120175,08/28/2013,2895,252458-1,252458-1,08/13G,08/28/2013,252458-1,100,1000,"","","",126.08,0
3,120175,08/28/2013,2895,252458-1,252458-1,08/13G,08/28/2013,252458-1,300,3990,"","","",126.08,0
