Seq,Receipt #,post_date,other id,invoice #,header memo,batch,doc date,detail memo,fund,account,cc1,cc2,cc3,debit,credit
1,995002,08/29/2013,2959,251971,251971,08/13P,08/29/2013,251971,300,1200,"","","",0,38.75
2,995002,08/29/2013,2959,251971,251971,08/13P,08/29/2013,251971,100,1000,"","","",38.75,0
3,995002,08/29/2013,2959,251971,251971,08/13P,08/29/2013,251971,300,3990,"","","",38.75,0
4,995002,08/29/2013,2959,251971,251971,08/13P,08/29/2013,251971,100,3990,"","","",0,38.75
1,995003,08/29/2013,2959,251970,251970,08/13P,08/29/2013,251970,300,1200,"","","",0,93.0
2,995003,08/29/2013,2959,251970,251970,08/13P,08/29/2013,251970,100,1000,"","","",93.0,0
3,995003,08/29/2013,2959,251970,251970,08/13P,08/29/2013,251970,300,3990,"","","",93.0,0
4,995003,08/29/2013,2959,251970,251970,08/13P,08/29/2013,251970,100,3990,"","","",0,93.0
1,941,08/29/2013,997786,255819,255819,08/13P,08/29/2013,255819,300,1200,"","","",0,337.5
2,941,08/29/2013,997786,255819,255819,08/13P,08/29/2013,255819,100,1000,"","","",337.5,0
3,941,08/29/2013,997786,255819,255819,08/13P,08/29/2013,255819,300,3990,"","","",337.5,0
4,941,08/29/2013,997786,255819,255819,08/13P,08/29/2013,255819,100,3990,"","","",0,337.5
1,1031,08/29/2013,2354,251957,251957,08/13P,08/29/2013,251957,300,1200,"","","",0,186.0
2,1031,08/29/2013,2354,251957,251957,08/13P,08/29/2013,251957,100,1000,"","","",186.0,0
3,1031,08/29/2013,2354,251957,251957,08/13P,08/29/2013,251957,300,3990,"","","",186.0,0
4,1031,08/29/2013,2354,251957,251957,08/13P,08/29/2013,251957,100,3990,"","","",0,186.0
1,1031,08/29/2013,2354,251084,251084,08/13P,08/29/2013,251084,300,1200,"","","",0,316.0
2,1031,08/29/2013,2354,251084,251084,08/13P,08/29/2013,251084,100,1000,"","","",316.0,0
3,1031,08/29/2013,2354,251084,251084,08/13P,08/29/2013,251084,300,3990,"","","",316.0,0
