Seq,Receipt #,post_date,other id,invoice #,header memo,batch,doc date,detail memo,fund,account,cc1,cc2,cc3,debit,credit
1,95000138958,07/22/2013,2794,247934,247934,07/13HFS,07/22/2013,247934,500,1218,"","","",0,270.08
2,95000138958,07/22/2013,2794,247934,247934,07/13HFS,07/22/2013,247934,100,1000,"","","",270.08,0
3,95000138958,07/22/2013,2794,247934,247934,07/13HFS,07/22/2013,247934,500,3990,"","","",270.08,0
4,95000138958,07/22/2013,2794,247934,247934,07/13HFS,07/22/2013,247934,100,3990,"","","",0,270.08
1,95000138958,07/22/2013,2004,247936,247936,07/13HFS,07/22/2013,247936,500,1218,"","","",0,844.0
2,95000138958,07/22/2013,2004,247936,247936,07/13HFS,07/22/2013,247936,100,1000,"","","",844.0,0
3,95000138958,07/22/2013,2004,247936,247936,07/13HFS,07/22/2013,247936,500,3990,"","","",844.0,0
4,95000138958,07/22/2013,2004,247936,247936,07/13HFS,07/22/2013,247936,100,3990,"","","",0,844.0
1,95000138958,07/22/2013,2763,247964,247964,07/13HFS,07/22/2013,247964,500,1218,"","","",0,1181.6
2,95000138958,07/22/2013,2763,247964,247964,07/13HFS,07/22/2013,247964,100,1000,"","","",1181.6,0
3,95000138958,07/22/2013,2763,247964,247964,07/13HFS,07/22/2013,247964,500,3990,"","","",1181.6,0
4,95000138958,07/22/2013,2763,247964,247964,07/13HFS,07/22/2013,247964,100,3990,"","","",0,1181.6
1,95000138958,07/22/2013,2808,247972,247972,07/13HFS,07/22/2013,247972,500,1218,"","","",0,725.84
2,95000138958,07/22/2013,2808,247972,247972,07/13HFS,07/22/2013,247972,100,1000,"","","",725.84,0
3,95000138958,07/22/2013,2808,247972,247972,07/13HFS,07/22/2013,247972,500,3990,"","","",725.84,0
4,95000138958,07/22/2013,2808,247972,247972,07/13HFS,07/22/2013,247972,100,3990,"","","",0,725.84
1,98000004426,07/22/2013,2571,245458,245458,07/13SHP,07/22/2013,245458,300,1204,"","","",0,142.4
2,98000004426,07/22/2013,2571,245458,245458,07/13SHP,07/22/2013,245458,100,1000,"","","",142.4,0
3,98000004426,07/22/2013,2571,245458,245458,07/13SHP,07/22/2013,245458,300,3990,"","","",142.4,0
4,98000004426,07/22/2013,2571,245458,245458,07/13SHP,07/22/2013,245458,100,3990,"","","",0,142.4
1,98000004426,07/22/2013,2572,245492,245492,07/13SHP,07/22/2013,245492,300,1204,"","","",0,384.48
2,98000004426,07/22/2013,2572,245492,245492,07/13SHP,07/22/2013,245492,100,1000,"","","",384.48,0
3,98000004426,07/22/2013,2572,245492,245492,07/13SHP,07/22/2013,245492,300,3990,"","","",384.48,0
4,98000004426,07/22/2013,2572,245492,245492,07/13SHP,07/22/2013,245492,100,3990,"","","",0,384.48
1,98000004426,07/22/2013,1735,246384,246384,07/13SHP,07/22/2013,246384,300,1204,"","","",0,56.96
2,98000004426,07/22/2013,1735,246384,246384,07/13SHP,07/22/2013,246384,100,1000,"","","",56.96,0
3,98000004426,07/22/2013,1735,246384,246384,07/13SHP,07/22/2013,246384,300,3990,"","","",56.96,0
4,98000004426,07/22/2013,1735,246384,246384,07/13SHP,07/22/2013,246384,100,3990,"","","",0,56.96
1,98000004426,07/22/2013,1735,246385,246385,07/13SHP,07/22/2013,246385,300,1204,"","","",0,56.96
2,98000004426,07/22/2013,1735,246385,246385,07/13SHP,07/22/2013,246385,100,1000,"","","",56.96,0
3,98000004426,07/22/2013,1735,246385,246385,07/13SHP,07/22/2013,246385,300,3990,"","","",56.96,0
4,98000004426,07/22/2013,1735,246385,246385,07/13SHP,07/22/2013,246385,100,3990,"","","",0,56.96
1,98000004426,07/22/2013,1967,246386,246386,07/13SHP,07/22/2013,246386,300,1204,"","","",0,797.44
2,98000004426,07/22/2013,1967,246386,246386,07/13SHP,07/22/2013,246386,100,1000,"","","",797.44,0
3,98000004426,07/22/2013,1967,246386,246386,07/13SHP,07/22/2013,246386,300,3990,"","","",797.44,0
4,98000004426,07/22/2013,1967,246386,246386,07/13SHP,07/22/2013,246386,100,3990,"","","",0,797.44
1,98000004426,07/22/2013,2096,246387,246387,07/13SHP,07/22/2013,246387,300,1204,"","","",0,854.4
2,98000004426,07/22/2013,2096,246387,246387,07/13SHP,07/22/2013,246387,100,1000,"","","",854.4,0
3,98000004426,07/22/2013,2096,246387,246387,07/13SHP,07/22/2013,246387,300,3990,"","","",854.4,0
4,98000004426,07/22/2013,2096,246387,246387,07/13SHP,07/22/2013,246387,100,3990,"","","",0,854.4
1,98000004426,07/22/2013,1426,246388,246388,07/13SHP,07/22/2013,246388,300,1204,"","","",0,313.28
2,98000004426,07/22/2013,1426,246388,246388,07/13SHP,07/22/2013,246388,100,1000,"","","",313.28,0
3,98000004426,07/22/2013,1426,246388,246388,07/13SHP,07/22/2013,246388,300,3990,"","","",313.28,0
4,98000004426,07/22/2013,1426,246388,246388,07/13SHP,07/22/2013,246388,100,3990,"","","",0,313.28
1,98000004426,07/22/2013,2133,246389,246389,07/13SHP,07/22/2013,246389,300,1204,"","","",0,498.4
2,98000004426,07/22/2013,2133,246389,246389,07/13SHP,07/22/2013,246389,100,1000,"","","",498.4,0
3,98000004426,07/22/2013,2133,246389,246389,07/13SHP,07/22/2013,246389,300,3990,"","","",498.4,0
4,98000004426,07/22/2013,2133,246389,246389,07/13SHP,07/22/2013,246389,100,3990,"","","",0,498.4
1,98000004426,07/22/2013,2599,246390,246390,07/13SHP,07/22/2013,246390,300,1204,"","","",0,1196.16
2,98000004426,07/22/2013,2599,246390,246390,07/13SHP,07/22/2013,246390,100,1000,"","","",1196.16,0
3,98000004426,07/22/2013,2599,246390,246390,07/13SHP,07/22/2013,246390,300,3990,"","","",1196.16,0
4,98000004426,07/22/2013,2599,246390,246390,07/13SHP,07/22/2013,246390,100,3990,"","","",0,1196.16
1,98000004426,07/22/2013,2645,246391,246391,07/13SHP,07/22/2013,246391,300,1204,"","","",0,42.72
2,98000004426,07/22/2013,2645,246391,246391,07/13SHP,07/22/2013,246391,100,1000,"","","",42.72,0
3,98000004426,07/22/2013,2645,246391,246391,07/13SHP,07/22/2013,246391,300,3990,"","","",42.72,0
4,98000004426,07/22/2013,2645,246391,246391,07/13SHP,07/22/2013,246391,100,3990,"","","",0,42.72
1,98000004426,07/22/2013,2571,246392,246392,07/13SHP,07/22/2013,246392,300,1204,"","","",0,28.48
2,98000004426,07/22/2013,2571,246392,246392,07/13SHP,07/22/2013,246392,100,1000,"","","",28.48,0
3,98000004426,07/22/2013,2571,246392,246392,07/13SHP,07/22/2013,246392,300,3990,"","","",28.48,0
4,98000004426,07/22/2013,2571,246392,246392,07/13SHP,07/22/2013,246392,100,3990,"","","",0,28.48
1,98000004426,07/22/2013,2594,246393,246393,07/13SHP,07/22/2013,246393,300,1204,"","","",0,626.56
2,98000004426,07/22/2013,2594,246393,246393,07/13SHP,07/22/2013,246393,100,1000,"","","",626.56,0
3,98000004426,07/22/2013,2594,246393,246393,07/13SHP,07/22/2013,246393,300,3990,"","","",626.56,0
4,98000004426,07/22/2013,2594,246393,246393,07/13SHP,07/22/2013,246393,100,3990,"","","",0,626.56
1,98000004426,07/22/2013,2634,246394,246394,07/13SHP,07/22/2013,246394,300,1204,"","","",0,996.8
2,98000004426,07/22/2013,2634,246394,246394,07/13SHP,07/22/2013,246394,100,1000,"","","",996.8,0
3,98000004426,07/22/2013,2634,246394,246394,07/13SHP,07/22/2013,246394,300,3990,"","","",996.8,0
4,98000004426,07/22/2013,2634,246394,246394,07/13SHP,07/22/2013,246394,100,3990,"","","",0,996.8
1,98000004426,07/22/2013,2658,246395,246395,07/13SHP,07/22/2013,246395,300,1204,"","","",0,356.0
2,98000004426,07/22/2013,2658,246395,246395,07/13SHP,07/22/2013,246395,100,1000,"","","",356.0,0
3,98000004426,07/22/2013,2658,246395,246395,07/13SHP,07/22/2013,246395,300,3990,"","","",356.0,0
4,98000004426,07/22/2013,2658,246395,246395,07/13SHP,07/22/2013,246395,100,3990,"","","",0,356.0
1,98000004426,07/22/2013,2202,246396,246396,07/13SHP,07/22/2013,246396,300,1204,"","","",0,498.4
2,98000004426,07/22/2013,2202,246396,246396,07/13SHP,07/22/2013,246396,100,1000,"","","",498.4,0
3,98000004426,07/22/2013,2202,246396,246396,07/13SHP,07/22/2013,246396,300,3990,"","","",498.4,0
4,98000004426,07/22/2013,2202,246396,246396,07/13SHP,07/22/2013,246396,100,3990,"","","",0,498.4
1,98000004426,07/22/2013,2639,246398,246398,07/13SHP,07/22/2013,246398,300,1204,"","","",0,954.08
2,98000004426,07/22/2013,2639,246398,246398,07/13SHP,07/22/2013,246398,100,1000,"","","",954.08,0
3,98000004426,07/22/2013,2639,246398,246398,07/13SHP,07/22/2013,246398,300,3990,"","","",954.08,0
4,98000004426,07/22/2013,2639,246398,246398,07/13SHP,07/22/2013,246398,100,3990,"","","",0,954.08
1,98000004426,07/22/2013,SCS-1036,246399,246399,07/13SHP,07/22/2013,246399,300,1204,"","","",0,600.0
2,98000004426,07/22/2013,SCS-1036,246399,246399,07/13SHP,07/22/2013,246399,100,1000,"","","",600.0,0
3,98000004426,07/22/2013,SCS-1036,246399,246399,07/13SHP,07/22/2013,246399,300,3990,"","","",600.0,0
4,98000004426,07/22/2013,SCS-1036,246399,246399,07/13SHP,07/22/2013,246399,100,3990,"","","",0,600.0
1,98000004426,07/22/2013,1817,246400,246400,07/13SHP,07/22/2013,246400,300,1204,"","","",0,469.92
2,98000004426,07/22/2013,1817,246400,246400,07/13SHP,07/22/2013,246400,100,1000,"","","",469.92,0
3,98000004426,07/22/2013,1817,246400,246400,07/13SHP,07/22/2013,246400,300,3990,"","","",469.92,0
4,98000004426,07/22/2013,1817,246400,246400,07/13SHP,07/22/2013,246400,100,3990,"","","",0,469.92
1,98000004426,07/22/2013,1818,246401,246401,07/13SHP,07/22/2013,246401,300,1204,"","","",0,1751.52
2,98000004426,07/22/2013,1818,246401,246401,07/13SHP,07/22/2013,246401,100,1000,"","","",1751.52,0
3,98000004426,07/22/2013,1818,246401,246401,07/13SHP,07/22/2013,246401,300,3990,"","","",1751.52,0
4,98000004426,07/22/2013,1818,246401,246401,07/13SHP,07/22/2013,246401,100,3990,"","","",0,1751.52
1,98000004426,07/22/2013,S2003480,246402,246402,07/13SHP,07/22/2013,246402,300,1204,"","","",0,868.64
2,98000004426,07/22/2013,S2003480,246402,246402,07/13SHP,07/22/2013,246402,100,1000,"","","",868.64,0
3,98000004426,07/22/2013,S2003480,246402,246402,07/13SHP,07/22/2013,246402,300,3990,"","","",868.64,0
4,98000004426,07/22/2013,S2003480,246402,246402,07/13SHP,07/22/2013,246402,100,3990,"","","",0,868.64
1,98000004426,07/22/2013,2888,246403,246403,07/13SHP,07/22/2013,246403,300,1204,"","","",0,99.68
2,98000004426,07/22/2013,2888,246403,246403,07/13SHP,07/22/2013,246403,100,1000,"","","",99.68,0
3,98000004426,07/22/2013,2888,246403,246403,07/13SHP,07/22/2013,246403,300,3990,"","","",99.68,0
4,98000004426,07/22/2013,2888,246403,246403,07/13SHP,07/22/2013,246403,100,3990,"","","",0,99.68
1,98000004426,07/22/2013,2888,246404,246404,07/13SHP,07/22/2013,246404,300,1204,"","","",0,498.4
2,98000004426,07/22/2013,2888,246404,246404,07/13SHP,07/22/2013,246404,100,1000,"","","",498.4,0
3,98000004426,07/22/2013,2888,246404,246404,07/13SHP,07/22/2013,246404,300,3990,"","","",498.4,0
4,98000004426,07/22/2013,2888,246404,246404,07/13SHP,07/22/2013,246404,100,3990,"","","",0,498.4
1,98000004426,07/22/2013,2676,246405,246405,07/13SHP,07/22/2013,246405,300,1204,"","","",0,1400.0
2,98000004426,07/22/2013,2676,246405,246405,07/13SHP,07/22/2013,246405,100,1000,"","","",1400.0,0
3,98000004426,07/22/2013,2676,246405,246405,07/13SHP,07/22/2013,246405,300,3990,"","","",1400.0,0
4,98000004426,07/22/2013,2676,246405,246405,07/13SHP,07/22/2013,246405,100,3990,"","","",0,1400.0
1,98000004426,07/22/2013,2507,246406,246406,07/13SHP,07/22/2013,246406,300,1204,"","","",0,800.0
