Seq,Receipt,post_date,other id,invoice,header memo,batch,doc date,detail memo,fund,account,cc1,cc2,cc3,debit,credit
1,98000005049,09/13/2013,,255540,255540,09/13SHP,09/13/2013,255540,300,1204,"","","",0,56.96
2,98000005049,09/13/2013,,255540,255540,09/13SHP,09/13/2013,255540,100,1000,"","","",56.96,0
3,98000005049,09/13/2013,,255540,255540,09/13SHP,09/13/2013,255540,300,3990,"","","",56.96,0
4,98000005049,09/13/2013,,255540,255540,09/13SHP,09/13/2013,255540,100,3990,"","","",0,56.96
1,98000005049,09/13/2013,,255542,255542,09/13SHP,09/13/2013,255542,300,1204,"","","",0,797.44
2,98000005049,09/13/2013,,255542,255542,09/13SHP,09/13/2013,255542,100,1000,"","","",797.44,0
3,98000005049,09/13/2013,,255542,255542,09/13SHP,09/13/2013,255542,300,3990,"","","",797.44,0
4,98000005049,09/13/2013,,255542,255542,09/13SHP,09/13/2013,255542,100,3990,"","","",0,797.44
1,98000005049,09/13/2013,,255543,255543,09/13SHP,09/13/2013,255543,300,1204,"","","",0,854.4
2,98000005049,09/13/2013,,255543,255543,09/13SHP,09/13/2013,255543,100,1000,"","","",854.4,0
3,98000005049,09/13/2013,,255543,255543,09/13SHP,09/13/2013,255543,300,3990,"","","",854.4,0
4,98000005049,09/13/2013,,255543,255543,09/13SHP,09/13/2013,255543,100,3990,"","","",0,854.4
1,98000005049,09/13/2013,,255544,255544,09/13SHP,09/13/2013,255544,300,1204,"","","",0,170.88
2,98000005049,09/13/2013,,255544,255544,09/13SHP,09/13/2013,255544,100,1000,"","","",170.88,0
3,98000005049,09/13/2013,,255544,255544,09/13SHP,09/13/2013,255544,300,3990,"","","",170.88,0
4,98000005049,09/13/2013,,255544,255544,09/13SHP,09/13/2013,255544,100,3990,"","","",0,170.88
1,98000005049,09/13/2013,,255545,255545,09/13SHP,09/13/2013,255545,300,1204,"","","",0,427.2
2,98000005049,09/13/2013,,255545,255545,09/13SHP,09/13/2013,255545,100,1000,"","","",427.2,0
3,98000005049,09/13/2013,,255545,255545,09/13SHP,09/13/2013,255545,300,3990,"","","",427.2,0
4,98000005049,09/13/2013,,255545,255545,09/13SHP,09/13/2013,255545,100,3990,"","","",0,427.2
1,98000005049,09/13/2013,,255546,255546,09/13SHP,09/13/2013,255546,300,1204,"","","",0,1196.16
2,98000005049,09/13/2013,,255546,255546,09/13SHP,09/13/2013,255546,100,1000,"","","",1196.16,0
3,98000005049,09/13/2013,,255546,255546,09/13SHP,09/13/2013,255546,300,3990,"","","",1196.16,0
